Activity,Drink Quantity,Number of Standard Drinkings,Calorie in Alcohol,Calorie Level
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,39,42.9,139,Extreme
Full/Mid-strength Beer,39,42.9,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,39,42.9,107,Extreme
Low-strength Beer,39,23.4,83,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,40,52,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,40,108,312,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,40,36,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,40,44,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,40,40,163,Extreme
Full/Mid-strength Beer,40,44,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,40,44,107,Extreme
Low-strength Beer,40,24,83,Extreme
Glass Wine,40,60,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,41,36.9,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,41,45.1,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,41,41,163,Extreme
Full/Mid-strength Beer,41,45.1,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,41,45.1,107,Extreme
Low-strength Beer,41,24.6,83,Extreme
Glass Wine,41,61.5,130,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,41,53.3,166,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,41,110.7,312,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,42,46.2,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,42,42,163,Extreme
Full/Mid-strength Beer,42,46.2,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,42,46.2,107,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,42,33.6,123,Extreme
Low-strength Beer,42,25.2,83,Extreme
Glass Wine,42,63,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,42,113.4,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,42,54.6,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,42,37.8,143,Extreme
Both Low-strength Beer and glass of wine with same proportion,43,47.3,107,Extreme
Low-strength Beer,43,25.8,83,Extreme
Glass Wine,43,64.5,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,43,116.1,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,43,55.9,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,43,38.7,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,43,47.3,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,43,43,163,Extreme
Full/Mid-strength Beer,43,47.3,202,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,44,118.8,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,44,57.2,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,44,39.6,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,44,48.4,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,44,44,163,Extreme
Full/Mid-strength Beer,44,48.4,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,44,48.4,107,Extreme
Low-strength Beer,44,26.4,83,Extreme
Glass Wine,44,66,130,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,45,36,123,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,45,121.5,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,45,58.5,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,45,40.5,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,45,49.5,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,45,45,163,Extreme
Full/Mid-strength Beer,45,49.5,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,45,49.5,107,Extreme
Low-strength Beer,45,27,83,Extreme
Glass Wine,45,67.5,130,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,46,50.6,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,46,46,163,Extreme
Full/Mid-strength Beer,46,50.6,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,46,50.6,107,Extreme
Low-strength Beer,46,27.6,83,Extreme
Glass Wine,46,69,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,46,124.2,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,46,59.8,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,46,41.4,143,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,47,47,163,Extreme
Full/Mid-strength Beer,47,51.7,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,47,51.7,107,Extreme
Low-strength Beer,47,28.2,83,Extreme
Glass Wine,47,70.5,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,47,126.9,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,47,61.1,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,47,42.3,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,47,51.7,139,Extreme
Low-strength Beer,48,28.8,83,Extreme
Glass Wine,48,72,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,48,129.6,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,48,62.4,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,48,43.2,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,48,52.8,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 1:2 proportion,48,38.4,123,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,48,48,163,Extreme
Full/Mid-strength Beer,48,52.8,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,48,52.8,107,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,49,132.3,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,49,63.7,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,49,44.1,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,49,53.9,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,49,49,163,Extreme
Full/Mid-strength Beer,49,53.9,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,49,53.9,107,Extreme
Low-strength Beer,49,29.4,83,Extreme
Glass Wine,49,73.5,130,Extreme
Full/Mid-strength and Low-strength Beer and bottle of wine with same proportion,50,135,312,Extreme
Both Full/Mid-strength Beer and glass of wine with same proportion,50,65,166,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with same proportion,50,45,143,Extreme
Full/Mid-strength and Low-strength Beer and glass of wine with same proportion,50,55,139,Extreme
Both Full/Mid-strength Beer and Low-strength Beer with 2:1 proportion,50,50,163,Extreme
Full/Mid-strength Beer,50,55,202,Extreme
Both Low-strength Beer and glass of wine with same proportion,50,55,107,Extreme
Low-strength Beer,50,30,83,Extreme
Glass Wine,50,75,130,Extreme
